queue,priority_rank,priority,track,source_dataset,chamber_id,start_datetime,end_datetime,track_score,management_score,environment_score,tier,reason,recommended_action,environment_temp_policy,environment_temp_label,environment_temp_action
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penB2.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penB3.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penC2.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penC3.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penD2.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penD3.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF2.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF3.3,2022-07-26,2022-07-26 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penB2.3,2022-07-29,2022-07-29 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penB3.3,2022-07-29,2022-07-29 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penD2.3,2022-07-29,2022-07-29 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF2.3,2022-07-29,2022-07-29 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF3.3,2022-07-29,2022-07-29 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penC3.3,2022-08-02,2022-08-02 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF2.3,2022-08-02,2022-08-02 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF3.3,2022-08-02,2022-08-02 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penA2.3,2022-08-05,2022-08-05 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penA3.3,2022-08-05,2022-08-05 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penB2.3,2022-08-05,2022-08-05 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penB3.3,2022-08-05,2022-08-05 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penC2.3,2022-08-05,2022-08-05 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penC3.3,2022-08-05,2022-08-05 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",screening,선별,관찰/추세 확인 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penA2.3,2022-08-09,2022-08-09 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penA3.3,2022-08-09,2022-08-09 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penC2.3,2022-08-09,2022-08-09 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penD2.3,2022-08-09,2022-08-09 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penD3.3,2022-08-09,2022-08-09 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penA2.3,2022-08-19,2022-08-19 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penA3.3,2022-08-19,2022-08-19 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penD2.3,2022-08-19,2022-08-19 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penD3.3,2022-08-19,2022-08-19 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF2.3,2022-08-19,2022-08-19 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp3:penF3.3,2022-08-19,2022-08-19 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",balanced,균형,환경 이상 기본 기준 후보
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penA2.4,2022-09-17,2022-09-17 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penA3.4,2022-09-17,2022-09-17 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-09-17,2022-09-17 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-09-17,2022-09-17 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penC2.4,2022-09-17,2022-09-17 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-09-20,2022-09-20 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-09-20,2022-09-20 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penD2.4,2022-09-20,2022-09-20 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-09-23,2022-09-23 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penD3.4,2022-09-23,2022-09-23 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-09-23,2022-09-23 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF3.4,2022-09-23,2022-09-23 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-09-27,2022-09-27 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penD2.4,2022-09-27,2022-09-27 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-09-27,2022-09-27 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-09-30,2022-09-30 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-09-30,2022-09-30 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-10-04,2022-10-04 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-10-04,2022-10-04 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-10-07,2022-10-07 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penC3.4,2022-10-07,2022-10-07 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-10-07,2022-10-07 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF3.4,2022-10-07,2022-10-07 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-10-11,2022-10-11 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-10-11,2022-10-11 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penC3.4,2022-10-11,2022-10-11 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penD2.4,2022-10-11,2022-10-11 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-10-14,2022-10-14 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-10-14,2022-10-14 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF3.4,2022-10-14,2022-10-14 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-10-18,2022-10-18 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-10-18,2022-10-18 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF3.4,2022-10-18,2022-10-18 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penC2.4,2022-10-21,2022-10-21 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penC3.4,2022-10-25,2022-10-25 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-10-25,2022-10-25 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-11-01,2022-11-01 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penD3.4,2022-11-04,2022-11-04 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penC3.4,2022-11-08,2022-11-08 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-11-08,2022-11-08 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-11-15,2022-11-15 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-11-15,2022-11-15 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-11-18,2022-11-18 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-11-21,2022-11-21 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penF2.4,2022-11-29,2022-11-29 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: co2_high,CO2 농도와 환기팬/입기구 상태 확인,normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB2.4,2022-12-02,2022-12-02 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
environment,2,high,clearfarm_rule_policy,ClearFarm,clearfarm:exp4:penB3.4,2022-12-02,2022-12-02 23:59:59,0.3,0.0,0.3,watch,policy:observe rule: environment: nh3_high,"NH3 농도, 분뇨 상태, 환기 상태 확인",normal,정상 범위,온도 기준 이상 없음
